ei	N CTs	N variants g	N PMIDs Chemicals	Gene	pLI	Gene Full Name	First Ref.	Last Ref.	N Chemicals	N PMIDs	score	N diseases g	My Score	DSI g	DPI g	N variants gda
0.967831681446705	73	189	0	APP	0.99999	amyloid beta precursor protein	1990	2023	0	120	1.0	56		0.41	0.92	163
0.9438517686692869	5	312	0	PSEN1	0.99951	presenilin 1	1993	2022	0	32	1.0	47		0.46	0.92	8
0.878341640235614	115	46	0	APOE	2.5529E-4	apolipoprotein E	1993	2020	0	14	1.0	105		0.35	0.92	17
0.9669794512412401	244	196	0	MAPT	2.127E-5	microtubule associated protein tau	1993	2020	0	13	1.0	46		0.38	0.92	2
0.9439834024896265	4	115	0	PSEN2	3.9026E-7	presenilin 2	1993	2020	0	9	1.0	12		0.49	0.83	1
0.9137931034482759	5	354	0	GRN	0.041507	granulin precursor	1993	2020	0	6	1.0	28		0.41	0.92	2
0.86	3	211	0	ACE	5.7955E-32	angiotensin I converting enzyme	1999	2019	0	5	1.0	124		0.36	0.92	3
0.9565217391304348	4	62	0	TOMM40	0.99571	translocase of outer mitochondrial membrane 40	2016	2018	0	4	1.0	7		0.51	0.83	57
0.9224137931034483	2	125	0	PPARG	0.21172	peroxisome proliferator activated receptor gamma	2005	2018	0	3	1.0	80		0.36	0.92	0
1.0	1	118	0	NECTIN2	0.014296	nectin cell adhesion molecule 2	2018	2018	0	3	1.0	19		0.52	0.88	105
0.8973384030418251	2	12	0	CLU	5.6844E-4	clusterin	2009	2011	0	3	1.0	29		0.42	0.88	11
0.9804618117229129	5	40	0	TREM2	6.5751E-7	triggering receptor expressed on myeloid cells 2	2014	2017	0	2	1.0	13		0.45	0.92	3
0.9846153846153847	1	39	0	ABCA7	6.7681E-103	ATP binding cassette subfamily A member 7	2011	2015	0	2	1.0	6		0.6	0.79	11
0.96875	0	312	0	BIN1	1.3372E-11	bridging integrator 1	2011	2021	0	2	1.0	11		0.54	0.88	9
0.9728997289972899	2	3	0	ACHE	0.81104	acetylcholinesterase (Yt blood group)	2013	2013	0	2	1.0	30		0.47	0.88	0
0.9777777777777777	0	26	0	APOC1	0.11905	apolipoprotein C1	2018	2018	0	2	1.0	4		0.52	0.75	21
0.9834437086092715	2	14	0	GSK3B	0.89836	glycogen synthase kinase 3 beta	2007	2013	0	2	1.0	42		0.4	0.88	0
0.9137931034482759	0	8	0	PICALM	0.74462	phosphatidylinositol binding clathrin assembly protein	2009	2011	0	2	1.0	4		0.57	0.79	6
0.9087719298245615	54	9	0	TNF	0.85687	tumor necrosis factor	2007	2007	0	1	1.0	315		0.25	0.96	0
0.9655555555555555	6	5	0	BACE1	0.75815	beta-secretase 1	2006	2006	0	1	1.0	2		0.52	0.88	0
0.9225181598062954	37	42	0	BDNF	0.99974	brain derived neurotrophic factor	2007	2007	0	1	1.0	63		0.35	0.92	0
0.935251798561151	1	7	0	IDE	0.075489	insulin degrading enzyme	2007	2007	0	1	1.0	3		0.59	0.75	0
0.8699551569506726	41	5	0	IL1B	0.48761	interleukin 1 beta	2008	2008	0	1	1.0	166		0.28	0.96	0
0.9386792452830188	5	123	0	BCHE	6.2149E-16	butyrylcholinesterase	2013	2013	0	1	1.0	48		0.46	0.92	0
0.9090909090909091	9	123	0	IGF1	0.75878	insulin like growth factor 1	2005	2005	0	1	1.0	73		0.31	0.92	0
0.9528301886792453	1	25	0	ADAM10	1.0	ADAM metallopeptidase domain 10	2019	2019	0	1	1.0	11		0.49	0.88	1
0.9791666666666666	2	12	0	SORL1	6.658E-8	sortilin related receptor 1			0	0	1.0	13		0.54	0.83	3
0.9657142857142857	2	11	0	AGER	2.5887E-14	advanced glycosylation end-product specific receptor			0	0	1.0	52		0.37	0.88	0
0.9247311827956989	14	99	0	SNCA	0.79656	synuclein alpha			0	0	1.0	31		0.42	0.88	0
0.8918918918918919	0	124	0	HFE	9.9398E-10	homeostatic iron regulator	1993	2020	0	7	0.95	77		0.43	0.88	2
0.875	0	19	0	NOS3	2.4053E-25	nitric oxide synthase 3	1993	2020	0	7	0.95	119		0.39	0.92	1
0.9555555555555556	2	2	0	MAOB		monoamine oxidase B	1994	2011	0	2	0.95	22		0.52	0.92	0
0.7959183673469388	1	8	0	CYP46A1	0.97633	cytochrome P450 family 46 subfamily A member 1	2009	2009	0	1	0.95	2		0.61	0.71	0
0.9130434782608695	5	10	0	VEGFA	0.1881	vascular endothelial growth factor A	2005	2005	0	1	0.95	118		0.28	0.92	0
0.8048780487804879	0	12	0	BACE2	0.72583	beta-secretase 2			0	0	0.95	1		0.6	0.83	1
0.9390243902439024	0	75	0	MME	1.9574E-15	membrane metalloendopeptidase			0	0	0.95	32		0.38	0.92	2
0.96	3	4	0	NTF3	0.96535	neurotrophin 3			0	0	0.95	15		0.49	0.88	1
1.0	1	223	0	ADAM17	0.09836	ADAM metallopeptidase domain 17			0	0	0.95	9		0.46	0.88	1
1.0	0	15	0	KLC1	0.95604	kinesin light chain 1			0	0	0.95	5		0.64	0.79	1
0.9746835443037974	11	66	0	INS	0.019763	insulin	1998	2005	0	2	0.9	98		0.36	0.92	0
0.9888888888888889	1	8	0	CD33	1.2195E-7	CD33 molecule	2011	2011	0	2	0.9	2		0.48	0.83	3
0.9473684210526315	0	5	0	ABI3	2.6177E-7	ABI family member 3	2017	2017	0	1	0.9	1		0.66	0.67	2
0.9411764705882353	4	70	0	LEP	0.0070036	leptin	2010	2010	0	1	0.9	63		0.35	0.92	0
0.967741935483871	0	2	0	MS4A4A	7.2358E-7	membrane spanning 4-domains A4A	2011	2011	0	1	0.9	5		0.61	0.71	1
1.0	0	597	0	PLCG2	0.99864	phospholipase C gamma 2	2017	2017	0	1	0.9	8		0.52	0.88	2
0.9666666666666667	1	3	0	BAX	4.4621E-7	BCL2 associated X, apoptosis regulator	2008	2008	0	1	0.9	33		0.38	0.88	0
0.926829268292683	1	28	0	BCL2	0.98901	BCL2 apoptosis regulator	2008	2008	0	1	0.9	83		0.32	0.88	0
0.9047619047619048	0	3	0	APH1B	2.4892E-10	aph-1B gamma-secretase subunit	2021	2021	0	1	0.9	5		0.73	0.21	1
1.0	1	3	0	CHRNA7	0.0017041	cholinergic receptor nicotinic alpha 7 subunit	2007	2007	0	1	0.9	31		0.5	0.88	0
0.92	1	1	0	CRH	0.0059146	corticotropin releasing hormone	1995	1995	0	1	0.9	44		0.45	0.83	0
1.0	0	8	0	PILRA	2.7289E-13	paired immunoglobin like type 2 receptor alpha	2021	2021	0	1	0.9	1		0.7	0.46	4
0.8764044943820225	0	186	0	ESR1	0.99791	estrogen receptor 1	2007	2007	0	1	0.9	81		0.34	0.92	0
0.9461538461538461	0	12	0	LRP8	0.40345	LDL receptor related protein 8			0	0	0.9	15		0.52	0.83	0
0.9642857142857143	1	2	0	HTR6	5.4724E-6	5-hydroxytryptamine receptor 6			0	0	0.9	7		0.61	0.5	0
0.8214285714285714	1	2	0	IL1A	0.060574	interleukin 1 alpha			0	0	0.9	72		0.41	0.88	0
0.8987341772151899	0	44	0	LRP1	1.0	LDL receptor related protein 1			0	0	0.9	21		0.45	0.88	0
0.9830508474576272	1	9	0	TLR4	4.0578E-4	toll like receptor 4			0	0	0.9	96		0.33	0.92	0
0.9285714285714286	1	59	0	MAOA		monoamine oxidase A			0	0	0.9	41		0.47	0.92	0
0.7727272727272727	0	34	0	PLAU	2.1468E-7	plasminogen activator, urokinase			0	0	0.9	67		0.42	0.88	0
0.9855072463768116	3	0	0	S100B	0.05819	S100 calcium binding protein B			0	0	0.9	29		0.41	0.92	0
0.859375	25	51	0	IL10	0.48334	interleukin 10			0	0	0.9	129		0.29	0.96	0
0.9204545454545454	14	194	0	TTR	0.012905	transthyretin			0	0	0.9	29		0.41	0.88	0
0.9859154929577465	1	1	0	GCG	0.13736	glucagon			0	0	0.9	33		0.41	0.88	0
0.9142857142857143	1	33	0	UCHL1	0.99978	ubiquitin C-terminal hydrolase L1			0	0	0.9	15		0.42	0.88	0
0.9917355371900827	0	18	0	NFE2L2	0.49709	NFE2 like bZIP transcription factor 2			0	0	0.9	74		0.36	0.92	0
0.972972972972973	1	20	0	EIF2AK2	2.069E-5	eukaryotic translation initiation factor 2 alpha kinase 2			0	0	0.9	16		0.48	0.88	0
1.0	0	41	0	HLA-DRB1		major histocompatibility complex, class II, DR beta 1			0	0	0.9	154		0.36	0.88	1
0.84	5	10	0	ICAM1	1.834E-6	intercellular adhesion molecule 1			0	0	0.9	61		0.34	0.92	0
0.9285714285714286	2	8	0	IGFBP3	0.060792	insulin like growth factor binding protein 3			0	0	0.9	20		0.41	0.88	0
0.8095238095238095	12	5	0	IL2	0.84704	interleukin 2			0	0	0.9	85		0.33	0.96	0
0.896551724137931	6	2	0	IL4	0.33956	interleukin 4			0	0	0.9	56		0.33	0.96	0
0.9393939393939394	2	9	0	IRS1	1.3176E-4	insulin receptor substrate 1			0	0	0.9	19		0.48	0.88	0
0.9900497512437811	0	3	0	CDK5	0.55415	cyclin dependent kinase 5			0	0	0.9	6		0.48	0.88	0
1.0	2	257	0	VCP	1.0	valosin containing protein	1993	2020	0	6	0.85	34		0.46	0.92	1
0.8928571428571429	0	22	0	MPO	3.2783E-16	myeloperoxidase	1993	2020	0	6	0.85	55		0.38	0.92	1
1.0	1	149	0	CSF1R	0.97417	colony stimulating factor 1 receptor	1993	2020	0	6	0.85	28		0.43	0.88	2
0.6842105263157895	0	2	0	A2M	9.1331E-20	alpha-2-macroglobulin	1998	2004	0	3	0.85	20		0.5	0.88	0
