ei	N CTs	N variants g	N PMIDs Chemicals	Gene	pLI	Gene Full Name	First Ref.	Last Ref.	N Chemicals	N PMIDs	score	N diseases g	My Score	DSI g	DPI g	N variants gda
0.9004001778568252	0	1693	0	TP53	0.99795	tumor protein p53	2012	2016	0	2	1.0	245		0.25	0.96	7
0.8741721854304636	0	1993	0	CHEK2	2.7688E-14	checkpoint kinase 2	2004	2004	0	1	1.0	66		0.43	0.88	11
0.9267399267399268	0	3224	0	PALB2	1.1821E-19	partner and localizer of BRCA2			0	0	1.0	57		0.47	0.83	10
0.9142011834319527	0	186	0	ESR1	0.99791	estrogen receptor 1			0	0	1.0	81		0.34	0.92	8
0.8864898210980876	0	10500	0	BRCA2	5.7691E-44	BRCA2 DNA repair associated			0	0	1.0	94		0.39	0.88	39
0.9254966887417219	0	346	0	PIK3CA	1.0	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha	2010	2017	0	3	0.9	129		0.33	0.88	1
0.8863365155131265	0	6589	0	BRCA1	1.4282E-34	BRCA1 DNA repair associated			0	0	0.9	85		0.37	0.88	30
0.9796954314720813	0	7	0	CXCL12	0.19731	C-X-C motif chemokine ligand 12			0	0	0.9	24		0.38	0.92	0
0.9266247379454927	0	1836	0	PTEN	0.048008	phosphatase and tensin homolog			0	0	0.9	154		0.32	0.88	2
0.9727891156462585	0	118	0	TWIST1	0.0067645	twist family bHLH transcription factor 1			0	0	0.9	21		0.4	0.88	0
0.9437148217636022	0	2211	0	CDH1	0.85165	cadherin 1			0	0	0.9	78		0.35	0.88	2
0.9418026969481902	0	602	0	EGFR	0.98131	epidermal growth factor receptor			0	0	0.9	104		0.29	0.88	0
0.9662921348314607	0	487	0	CDK4	0.5637	cyclin dependent kinase 4			0	0	0.9	33		0.42	0.83	0
0.8559782608695652	0	8632	0	ATM	1.2568E-69	ATM serine/threonine kinase			0	0	0.9	118		0.38	0.88	20
0.9850746268656716	0	43	0	CAV1	0.01393	caveolin 1			0	0	0.9	44		0.4	0.88	0
0.8681318681318682	0	2953	0	BRIP1	8.2865E-19	BRCA1 interacting DNA helicase 1			0	0	0.85	30		0.49	0.88	8
0.9759036144578314	0	1884	0	MET	0.99984	MET proto-oncogene, receptor tyrosine kinase			0	0	0.85	76		0.37	0.88	1
0.8	0	1117	0	MRE11	2.4959E-10	MRE11 double strand break repair nuclease			0	0	0.85	34		0.51	0.88	2
0.9206349206349206	0	1198	0	STK11	0.99991	serine/threonine kinase 11			0	0	0.85	59		0.42	0.88	4
