ei	N CTs	N variants g	N PMIDs Chemicals	Gene	pLI	Gene Full Name	First Ref.	Last Ref.	N Chemicals	N PMIDs	score	N diseases g	My Score	DSI g	DPI g	N variants gda
0.939568345323741	58	8	0	ACE2		angiotensin converting enzyme 2	2020	2021	0	19	1.0	24		0.41	0.88	7
0.9372990353697749	429	10	0	IL6	0.19935	interleukin 6	2020	2020	0	4	1.0	214		0.25	0.96	1
0.8405797101449275	13	211	0	ACE	5.7955E-32	angiotensin I converting enzyme	2021	2021	0	4	1.0	124		0.36	0.92	0
0.9351851851851852	251	9	0	TNF	0.85687	tumor necrosis factor	2020	2020	0	1	1.0	315		0.25	0.96	1
0.9219330855018587	12	10	0	TMPRSS2	2.5153E-15	transmembrane serine protease 2	2021	2021	0	1	1.0	2		0.51	0.83	4
0.963302752293578	118	51	0	IL10	0.48334	interleukin 10	2020	2020	0	2	0.95	129		0.29	0.96	0
0.975	2	66	0	ABO		ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase	2020	2020	0	1	0.95	38		0.48	0.88	13
0.917910447761194	129	5	0	IL1B	0.48761	interleukin 1 beta	2020	2020	0	1	0.95	166		0.28	0.96	0
0.91875	564	1	0	CRP	5.414E-4	C-reactive protein	2020	2020	0	1	0.95	67		0.28	0.96	0
0.9016393442622951	18	99	0	AGT	1.6654E-8	angiotensinogen	2020	2021	0	3	0.9	112		0.39	0.88	1
0.9634146341463414	27	0	0	CXCL10	0.10052	C-X-C motif chemokine ligand 10	2020	2020	0	1	0.9	21		0.36	0.88	0
0.8787878787878788	4	46	0	APOE	2.5529E-4	apolipoprotein E	2020	2020	0	1	0.9	105		0.35	0.92	1
0.9722222222222222	1	16	0	OAS1	1.981E-4	2'-5'-oligoadenylate synthetase 1	2022	2022	0	1	0.9	7		0.55	0.83	6
0.9384615384615385	33	2	0	CCL2	0.098507	C-C motif chemokine ligand 2	2020	2020	0	1	0.9	102		0.33	0.92	0
0.84375	2	63	0	AGTR1	7.1609E-5	angiotensin II receptor type 1			0	0	0.9	41		0.43	0.92	0
0.8709677419354839	0	2	0	IFITM3	0.016406	interferon induced transmembrane protein 3	2020	2020	0	1	0.85	3		0.55	0.75	1
0.9230769230769231	3	364	0	BTK		Bruton tyrosine kinase	2020	2020	0	1	0.85	30		0.43	0.88	0
1.0	106	5	0	IL2	0.84704	interleukin 2	2020	2020	0	1	0.85	85		0.33	0.96	0
1.0	4	645	0	F8		coagulation factor VIII	2022	2022	0	1	0.85	20		0.44	0.88	0
1.0	1	9	0	CCR2	0.048059	C-C motif chemokine receptor 2	2021	2021	0	1	0.85	35		0.42	0.88	0
1.0	8	225	0	SERPING1	0.99999	serpin family G member 1			0	0	0.85	19		0.49	0.88	0
0.85	1	31	0	HLA-C		major histocompatibility complex, class I, C			0	0	0.85	22		0.41	0.88	1
0.9310344827586207	5	14	0	MUC1		mucin 1, cell surface associated	2022	2022	0	1	0.8	22		0.37	0.92	0
1.0	21	3	0	IL7	0.48838	interleukin 7	2020	2020	0	1	0.8	11		0.43	0.92	0
0.8571428571428571	19	2	0	CSF3	4.8646E-6	colony stimulating factor 3	2020	2020	0	1	0.8	89		0.36	0.92	0
1.0	2	1	0	BSG	1.1312E-12	basigin (Ok blood group)	2020	2020	0	1	0.8	16		0.44	0.88	0
0.9629629629629629	1	7	0	TLR7		toll like receptor 7			0	0	0.8	10		0.44	0.88	0
0.875	5	1	0	IFNB1		interferon beta 1			0	0	0.8	19		0.44	0.88	0
1.0	0	50	0	LZTFL1	0.0015345	leucine zipper transcription factor like 1	2020	2020	0	2	0.75	8		0.54	0.83	19
0.8809523809523809	0	23	0	IFNAR2	0.012155	interferon alpha and beta receptor subunit 2	2021	2021	0	1	0.75	7		0.57	0.79	11
0.9230769230769231	0	451	0	TYK2	1.4894E-7	tyrosine kinase 2	2021	2021	0	1	0.75	21		0.49	0.88	7
0.8888888888888888	14	0	0	CCL3	0.0047784	C-C motif chemokine ligand 3	2020	2020	0	1	0.75	19		0.45	0.88	0
1.0	0	0	0	F3	0.0016438	coagulation factor III, tissue factor			0	0	0.75	16		0.44	0.88	0
1.0	8	193	0	IL2RA	5.1734E-6	interleukin 2 receptor subunit alpha	2020	2020	0	2	0.7	31		0.38	0.88	0
1.0	2	2	0	SELE	9.6039E-12	selectin E	2022	2022	0	1	0.7	17		0.42	0.88	0
