disease,species,module_id,module_size,node_conservation,edge_conservation,edges_evaluated,edges_conserved,topology_conservation
AD,mouse,0,276,0.8876811594202898,0.004048582995951417,247,1,0.10988407762601311
AD,yeast,0,276,0.20652173913043478,,0,0,0.38047973531844503
AD,fly,0,276,0.4855072463768116,0.008620689655172414,116,1,0.27632023933402705
AD,mouse,1,75,0.9066666666666666,0.0,65,0,0.0
AD,yeast,1,75,0.37333333333333335,,0,0,0.0
AD,fly,1,75,0.6133333333333333,0.0,7,0,0.0
AD,mouse,2,374,0.8823529411764706,0.04521276595744681,376,17,0.44729965869509314
AD,yeast,2,374,0.26737967914438504,0.12195121951219512,41,5,0.5272108843537415
AD,fly,2,374,0.553475935828877,0.01282051282051282,156,2,0.3886163993728162
AD,mouse,3,154,0.9090909090909091,0.02142857142857143,140,3,0.0919732441471572
AD,yeast,3,154,0.2987012987012987,0.11904761904761904,42,5,0.5280373831775701
AD,fly,3,154,0.5454545454545454,0.0,82,0,0.5
AD,mouse,4,152,0.8947368421052632,0.17763157894736842,152,27,0.5684210526315789
AD,yeast,4,152,0.29605263157894735,0.16666666666666666,18,3,0.5208333333333334
AD,fly,4,152,0.5460526315789473,0.06451612903225806,31,2,0.503968253968254
AD,mouse,5,108,0.9074074074074074,0.047619047619047616,105,5,0.17654582214249612
AD,yeast,5,108,0.08333333333333333,,0,0,0.0
AD,fly,5,108,0.46296296296296297,0.2727272727272727,44,12,0.5526315789473684
AD,mouse,6,246,0.9390243902439024,0.029166666666666667,240,7,0.27135960494000144
AD,yeast,6,246,0.3089430894308943,,0,0,0.25952211322409163
AD,fly,6,246,0.5528455284552846,0.0,35,0,0.08803063764153259
AD,mouse,7,235,0.9191489361702128,0.16,250,40,0.5607065135298073
AD,yeast,7,235,0.33191489361702126,0.6666666666666666,12,8,0.64
AD,fly,7,235,0.5404255319148936,0.2191780821917808,73,16,0.5318181818181819
AD,mouse,8,392,0.923469387755102,0.056433408577878104,443,25,0.4400725756060295
AD,yeast,8,392,0.3112244897959184,,0,0,0.5
AD,fly,8,392,0.6632653061224489,0.03134796238244514,319,10,0.5078947368421053
AD,mouse,9,95,0.8526315789473684,0.060240963855421686,83,5,0.3345578353341364
AD,yeast,9,95,0.18947368421052632,,0,0,0.1700650043166929
AD,fly,9,95,0.5789473684210527,0.0,31,0,0.0
AD,mouse,10,333,0.8258258258258259,0.056666666666666664,300,17,0.5235457063711911
AD,yeast,10,333,0.27927927927927926,0.5853658536585366,41,24,0.6666666666666666
AD,fly,10,333,0.5105105105105106,0.0718954248366013,153,11,0.5261780104712042
AD,mouse,11,94,0.9787234042553191,0.15841584158415842,101,16,0.41198672842255274
AD,yeast,11,94,0.07446808510638298,,0,0,0.0
AD,fly,11,94,0.48936170212765956,0.0,27,0,0.27203136669156086
AD,mouse,12,23,0.9130434782608695,0.09090909090909091,22,2,0.33827861952861954
AD,yeast,12,23,0.17391304347826086,,0,0,0.0
AD,fly,12,23,0.21739130434782608,,0,0,0.0
AD,mouse,13,238,0.8949579831932774,0.13991769547325103,243,34,0.56640625
AD,yeast,13,238,0.31932773109243695,0.0,3,0,0.3899182540759845
AD,fly,13,238,0.5378151260504201,0.08247422680412371,97,8,0.518957345971564
AD,mouse,14,504,0.9365079365079365,0.16066066066066065,666,107,0.5627906976744186
AD,yeast,14,504,0.20238095238095238,0.25,12,3,0.559322033898305
AD,fly,14,504,0.45634920634920634,0.07142857142857142,98,7,0.5022813688212928
AD,mouse,15,125,0.912,0.11570247933884298,121,14,0.4677058258293956
AD,yeast,15,125,0.176,0.1,20,2,0.3833339003617641
AD,fly,15,125,0.496,0.11764705882352941,68,8,0.5202312138728323
AD,mouse,16,186,0.8817204301075269,0.05434782608695652,184,10,0.4278159955015534
AD,yeast,16,186,0.1774193548387097,0.3888888888888889,18,7,0.5694444444444444
AD,fly,16,186,0.521505376344086,0.0,64,0,0.0
AD,mouse,17,38,0.9473684210526315,0.0,35,0,0.0
