disease,species,module_id,human_edge,target_edge
AD,mouse,0,CPEB1 - APP,Cpeb1-App
AD,mouse,2,APBB1 - APLP2,Apbb1-Aplp2
AD,mouse,2,APBB1 - Rnf157,Apbb1-Rnf157
AD,mouse,2,GSTP1 - MAPK8,Gstp2-Mapk8
AD,mouse,2,GSTP1 - FANCC,Gstp1-Fancc
AD,mouse,2,GSTP1 - PRDX6,Gstp1-Prdx6
AD,mouse,2,AP2B1 - PICALM,Ap2b1-Picalm
AD,mouse,2,CLTC - PICALM,Cltc-Picalm
AD,mouse,2,MAPK8 - APBB2,Mapk8-Apbb2
AD,mouse,2,MAPK8 - WWOX,Mapk8-Wwox
AD,mouse,2,PRDX6 - NCF2,Prdx6-Ncf2
AD,mouse,2,MAPK8IP2 - LRP8,Mapk8ip2-Lrp8
AD,mouse,2,LRP8 - MAPK8IP1,Lrp8-Mapk8ip1
AD,mouse,2,UCHL5 - CTSD,Uchl5-Ctsd
AD,mouse,2,POR - PGRMC1,Por-Pgrmc1
AD,mouse,2,CANX - PGRMC1,Canx-Pgrmc1
AD,mouse,2,ADAM10 - TSPAN15,Adam10-Tspan15
AD,mouse,2,PGRMC1 - DPP4,Pgrmc1-Dpp4
AD,mouse,3,DNAJB6 - HSPA1A,Dnajb6-Hspa1b
AD,mouse,3,DNAJA4 - HSPA1A,Dnaja4-Hspa1a
AD,mouse,3,DNAJB4 - HSPA1A,Dnajb4-Hspa1a
AD,mouse,4,DPYSL2 - CRMP1,Dpysl2-Crmp1
AD,mouse,4,DPYSL2 - DPYSL3,Dpysl2-Dpysl3
AD,mouse,4,DPYSL2 - DPYSL5,Dpysl2-Dpysl5
AD,mouse,4,DPYSL2 - NUMB,Dpysl2-Numb
AD,mouse,4,DPYSL2 - PRDX2,Dpysl2-Prdx2
AD,mouse,4,MTM1 - BIN1,Mtm1-Bin1
AD,mouse,4,SLC6A3 - SNCA,Slc6a3-Snca
AD,mouse,4,ARSA - SNCA,Arsa-Snca
AD,mouse,4,Ndufb6 - SNCA,Ndufb6-Snca
AD,mouse,4,ITCH - BIN1,Itch-Bin1
AD,mouse,4,BDH2 - SNCA,Bdh2-Snca
AD,mouse,4,GSTO1 - BAG3,Gsto1-Bag3
