disease,species,module_id,human_gene,ortholog_in_network,degree_in_target
AD,mouse,0,MRPL3,Mrpl3,1
AD,mouse,0,PLRG1,Plrg1,1
AD,mouse,0,ITGB3,Itgb3,2
AD,mouse,0,PRICKLE2,Prickle2,1
AD,mouse,0,TRIP6,Trip6,1
AD,mouse,0,PNKD,Pnkd,1
AD,mouse,0,SIGMAR1,Sigmar1,1
AD,mouse,0,ACADL,Acadl,1
AD,mouse,0,PIKFYVE,Pikfyve,1
AD,mouse,0,GABARAPL2,Gabarapl2,1
AD,mouse,0,APBB3,Apbb3,1
AD,mouse,0,APP,App,179
AD,mouse,0,AK1,Ak1,1
AD,mouse,0,ZC2HC1A,Zc2hc1a,2
AD,mouse,0,RPS18,Rps18,1
AD,mouse,0,FAM117B,Fam117b,1
AD,mouse,0,OPA1,Opa1,1
AD,mouse,0,FBXL2,Fbxl2,1
AD,mouse,0,FGF12,Fgf12,1
AD,mouse,0,FILIP1,Filip1,1
AD,mouse,0,MRPL24,Mrpl24,1
AD,mouse,0,MTFMT,Mtfmt,1
AD,mouse,0,HAUS6,Haus6,1
AD,mouse,0,PLP1,Plp1,2
AD,mouse,0,PHACTR4,Phactr4,2
AD,mouse,0,CPEB1,Cpeb1,1
AD,mouse,0,ALB,Alb,5
AD,mouse,0,SYNCRIP,Syncrip,2
AD,mouse,0,GAPDHS,Gapdhs,7
AD,mouse,0,TAF6,Taf6,1
AD,mouse,0,IFIT3,Ifit3,1
AD,mouse,0,UBA5,Uba5,2
AD,mouse,0,NAE1,Nae1,1
AD,mouse,0,MAFF,Maff,1
AD,mouse,0,CRIP2,Crip2,1
AD,mouse,0,COL25A1,Col25a1,1
AD,mouse,1,SMG9,Smg9,1
AD,mouse,1,GNAI1,Gnai1,1
AD,mouse,1,FAM114A2,Fam114a2,1
AD,mouse,1,PEX19,Pex19,1
AD,mouse,1,CAMK1,Camk1,1
AD,mouse,1,CKAP5,Ckap5,1
AD,mouse,1,GNAZ,Gnaz,1
AD,mouse,1,EPHA1,Epha1,1
AD,mouse,1,KIF14,Kif14,1
AD,mouse,1,SMG8,Smg8,1
AD,mouse,1,NUCB1,Nucb1,1
AD,mouse,1,BCL2L11,Bcl2l11,1
AD,mouse,1,EIF2B5,Eif2b5,1
AD,mouse,2,GGA2,Gga2,1
AD,mouse,2,CANX,Canx,9
AD,mouse,2,CAMSAP3,Camsap3,2
AD,mouse,2,TBC1D4,Tbc1d4,1
AD,mouse,2,ECE1,Ece1,3
AD,mouse,2,HSPA5,Hspa5,6
AD,mouse,2,CLTA,Clta,3
AD,mouse,2,HMOX1,Hmox1,6
AD,mouse,2,ADAM10,Adam10,202
AD,mouse,2,SYP,Syp,3
AD,mouse,2,NCF2,Ncf2,4
AD,mouse,2,LINGO1,Lingo1,1
AD,mouse,2,NBN,Nbn,1
AD,mouse,2,CTSD,Ctsd,11
AD,mouse,2,TSPAN15,Tspan15,1
AD,mouse,2,APBB1,Apbb1,12
AD,mouse,2,GRHPR,Grhpr,1
AD,mouse,2,FKBP15,Fkbp15,1
AD,mouse,2,PGRMC2,Pgrmc2,1
AD,mouse,2,FANCC,Fancc,1
AD,mouse,2,PGRMC1,Pgrmc1,13
AD,mouse,2,SNAP91,Snap91,3
AD,mouse,2,GGA1,Gga1,2
AD,mouse,2,LRPAP1,Lrpap1,10
AD,mouse,2,ADAMTS1,Adamts1,3
AD,mouse,2,FLOT1,Flot1,3
AD,mouse,2,ATM,Atm,1
AD,mouse,2,RAC1,Rac1,1
AD,mouse,2,PIK3C2A,Pik3c2a,1
AD,mouse,2,RAPGEF2,Rapgef2,1
AD,mouse,2,MAP2K7,Map2k7,1
AD,mouse,2,GAK,Gak,2
AD,mouse,2,HERC2,Herc2,1
AD,mouse,2,GSTP1,"Gstp1, Gstp2",15
AD,mouse,2,AP2B1,Ap2b1,4
AD,mouse,2,DHCR24,Dhcr24,2
AD,mouse,2,NCF1,Ncf1,1
AD,mouse,2,GTSE1,Gtse1,1
AD,mouse,2,CLTC,Cltc,6
AD,mouse,2,GNAI2,Gnai2,1
AD,mouse,2,RPN1,Rpn1,1
AD,mouse,2,HUWE1,Huwe1,5
AD,mouse,2,MAPK8,Mapk8,5
AD,mouse,2,VAPA,Vapa,1
AD,mouse,2,LMNA,Lmna,1
AD,mouse,2,ARF6,Arf6,1
AD,mouse,2,Rnf157,Rnf157,1
AD,mouse,2,WDR41,Wdr41,1
AD,mouse,2,WWOX,Wwox,7
AD,mouse,2,PRDX6,Prdx6,3
AD,mouse,2,TBC1D2B,Tbc1d2b,1
AD,mouse,2,STAMBPL1,Stambpl1,1
AD,mouse,2,KAT5,Kat5,1
AD,mouse,2,ELMO1,Elmo1,1
AD,mouse,2,SIAH2,Siah2,2
AD,mouse,2,MAPK8IP2,Mapk8ip2,2
AD,mouse,2,SCAMP3,Scamp3,3
