gene,disease,module_id,module_degree,global_degree,module_size,mod_deg_norm,label
FOXL1,AD,0,6,194,194,0.030927835051546393,0
FOXL1,AD,1,3,194,216,0.013888888888888888,0
FOXL1,AD,2,0,194,109,0.0,0
FOXL1,AD,3,3,194,195,0.015384615384615385,0
FOXL1,AD,4,2,194,233,0.008583690987124463,0
FOXL1,AD,5,6,194,160,0.0375,0
FOXL1,AD,6,4,194,118,0.03389830508474576,0
FOXL1,AD,7,6,194,53,0.11320754716981132,0
FOXL1,AD,8,19,194,394,0.048223350253807105,0
FOXL1,AD,9,2,194,128,0.015625,0
FOXL1,AD,10,18,194,293,0.06143344709897611,0
FOXL1,AD,11,3,194,81,0.037037037037037035,0
FOXL1,AD,12,2,194,129,0.015503875968992248,0
FOXL1,AD,13,2,194,290,0.006896551724137931,0
FOXL1,AD,14,1,194,38,0.02631578947368421,0
FOXL1,AD,15,1,194,179,0.00558659217877095,0
FOXL1,AD,16,1,194,129,0.007751937984496124,0
FOXL1,AD,17,1,194,175,0.005714285714285714,0
FOXL1,AD,18,1,194,96,0.010416666666666666,0
FOXL1,AD,19,3,194,112,0.026785714285714284,0
FOXL1,AD,20,2,194,213,0.009389671361502348,0
FOXL1,AD,21,4,194,159,0.025157232704402517,0
FOXL1,AD,22,6,194,512,0.01171875,0
FOXL1,AD,23,1,194,91,0.01098901098901099,0
LPAR2,AD,0,0,119,194,0.0,0
LPAR2,AD,1,7,119,216,0.032407407407407406,0
LPAR2,AD,2,0,119,109,0.0,0
LPAR2,AD,3,2,119,195,0.010256410256410256,0
LPAR2,AD,4,9,119,233,0.03862660944206009,0
LPAR2,AD,5,2,119,160,0.0125,0
LPAR2,AD,6,1,119,118,0.00847457627118644,0
LPAR2,AD,7,2,119,53,0.03773584905660377,0
LPAR2,AD,8,3,119,394,0.007614213197969543,0
LPAR2,AD,9,2,119,128,0.015625,0
LPAR2,AD,10,1,119,293,0.0034129692832764505,0
LPAR2,AD,11,1,119,81,0.012345679012345678,0
LPAR2,AD,12,0,119,129,0.0,0
LPAR2,AD,13,0,119,290,0.0,0
LPAR2,AD,14,2,119,38,0.05263157894736842,0
LPAR2,AD,15,2,119,179,0.0111731843575419,0
LPAR2,AD,16,0,119,129,0.0,0
LPAR2,AD,17,1,119,175,0.005714285714285714,0
LPAR2,AD,18,2,119,96,0.020833333333333332,0
LPAR2,AD,19,2,119,112,0.017857142857142856,0
LPAR2,AD,20,0,119,213,0.0,0
LPAR2,AD,21,0,119,159,0.0,0
LPAR2,AD,22,2,119,512,0.00390625,0
LPAR2,AD,23,1,119,91,0.01098901098901099,0
PHF5A,AD,0,8,182,194,0.041237113402061855,0
PHF5A,AD,1,0,182,216,0.0,0
PHF5A,AD,2,3,182,109,0.027522935779816515,0
PHF5A,AD,3,7,182,195,0.035897435897435895,0
