disease,species,node_conservation,edge_conservation,topology_conservation,transferability
AD,fly,0.5295648060548723,0.05529969099069617,0.38760996921433866,0.32415815541996906
AD,mouse,0.902554399243141,0.08384875966411053,0.4105273296602016,0.4656434961891511
AD,yeast,0.2540208136234626,0.2862235159672185,0.4486493555182162,0.3296312283696325
BC,fly,0.5451364590622814,0.05551000258540014,0.39836506785162634,0.33300384316643594
BC,mouse,0.9146256123163051,0.05890108022111881,0.4649453443998891,0.4794906789791044
BC,yeast,0.25787263820853745,0.16764845976068724,0.13020417948689467,0.18524175915203978
COVID,fly,0.5622641509433962,0.006837703435804701,0.05809467654986523,0.2090655103096887
COVID,mouse,0.8971698113207547,0.02891512896060929,0.20699393585120007,0.3776929587108547
COVID,yeast,0.2632075471698113,0.0,0.043867924528301884,0.10235849056603774
PD,fly,0.5655844155844156,0.09811104694115655,0.4255986885122644,0.36309805034594556
PD,mouse,0.9087662337662338,0.11820503992572998,0.4911369588522131,0.5060360775147257
PD,yeast,0.3,0.24386805637072922,0.40274870073037605,0.31553891903370174
