gene,disease,module_id,module_degree,global_degree,module_size,species,node_conservation,BSR,mod_deg_norm,mod_z_score
CER1,AD,0,1,1,194,mouse,0.8876811594202898,0.6309090909090909,0.0051813471502590676,-0.08568737714788395
CER1,AD,0,1,1,194,yeast,0.2065217391304347,0.047636363636363636,0.0051813471502590676,-0.08568737714788395
CER1,AD,0,1,1,194,fly,0.4855072463768116,0.0,0.0051813471502590676,-0.08568737714788395
CDC37L1,AD,0,1,1,194,mouse,0.8876811594202898,0.871977240398293,0.0051813471502590676,-0.08568737714788395
CDC37L1,AD,0,1,1,194,yeast,0.2065217391304347,0.051493598862019915,0.0051813471502590676,-0.08568737714788395
CDC37L1,AD,0,1,1,194,fly,0.4855072463768116,0.1906116642958748,0.0051813471502590676,-0.08568737714788395
FGFR2,AD,0,1,3,194,mouse,0.8876811594202898,0.9790209790209791,0.0051813471502590676,-0.08568737714788395
FGFR2,AD,0,1,3,194,yeast,0.2065217391304347,0.05827505827505827,0.0051813471502590676,-0.08568737714788395
FGFR2,AD,0,1,3,194,fly,0.4855072463768116,0.27564102564102566,0.0051813471502590676,-0.08568737714788395
TXNRD1,AD,0,1,2,194,mouse,0.8876811594202898,0.7291044776119403,0.0051813471502590676,-0.08568737714788395
TXNRD1,AD,0,1,2,194,yeast,0.2065217391304347,0.18955223880597014,0.0051813471502590676,-0.08568737714788395
TXNRD1,AD,0,1,2,194,fly,0.4855072463768116,0.4014925373134328,0.0051813471502590676,-0.08568737714788395
SF3B2,AD,0,1,2,194,mouse,0.8876811594202898,0.9604015616285555,0.0051813471502590676,-0.08568737714788395
SF3B2,AD,0,1,2,194,yeast,0.2065217391304347,0.09481316229782487,0.0051813471502590676,-0.08568737714788395
SF3B2,AD,0,1,2,194,fly,0.4855072463768116,0.35527049637479086,0.0051813471502590676,-0.08568737714788395
CNN2,AD,0,1,1,194,mouse,0.8876811594202898,0.880466472303207,0.0051813471502590676,-0.08568737714788395
CNN2,AD,0,1,1,194,yeast,0.2065217391304347,0.07740524781341108,0.0051813471502590676,-0.08568737714788395
CNN2,AD,0,1,1,194,fly,0.4855072463768116,0.17346938775510204,0.0051813471502590676,-0.08568737714788395
EPHB6,AD,0,1,1,194,mouse,0.8876811594202898,0.8943089430894309,0.0051813471502590676,-0.08568737714788395
EPHB6,AD,0,1,1,194,yeast,0.2065217391304347,0.04366331898613104,0.0051813471502590676,-0.08568737714788395
EPHB6,AD,0,1,1,194,fly,0.4855072463768116,0.2764227642276423,0.0051813471502590676,-0.08568737714788395
ADSS,AD,0,1,2,194,mouse,0.8876811594202898,0.0,0.0051813471502590676,-0.08568737714788395
ADSS,AD,0,1,2,194,yeast,0.2065217391304347,0.0,0.0051813471502590676,-0.08568737714788395
ADSS,AD,0,1,2,194,fly,0.4855072463768116,0.0,0.0051813471502590676,-0.08568737714788395
DNAJB4,AD,0,1,1,194,mouse,0.8876811594202898,0.9272197962154294,0.0051813471502590676,-0.08568737714788395
DNAJB4,AD,0,1,1,194,yeast,0.2065217391304347,0.28093158660844253,0.0051813471502590676,-0.08568737714788395
DNAJB4,AD,0,1,1,194,fly,0.4855072463768116,0.512372634643377,0.0051813471502590676,-0.08568737714788395
SRRM2,AD,0,1,1,194,mouse,0.8876811594202898,0.34920007900454275,0.0051813471502590676,-0.08568737714788395
SRRM2,AD,0,1,1,194,yeast,0.2065217391304347,0.0076041872407663445,0.0051813471502590676,-0.08568737714788395
SRRM2,AD,0,1,1,194,fly,0.4855072463768116,0.034564487458028835,0.0051813471502590676,-0.08568737714788395
SMAP1,AD,0,1,1,194,mouse,0.8876811594202898,0.7774294670846394,0.0051813471502590676,-0.08568737714788395
SMAP1,AD,0,1,1,194,yeast,0.2065217391304347,0.13061650992685475,0.0051813471502590676,-0.08568737714788395
SMAP1,AD,0,1,1,194,fly,0.4855072463768116,0.21316614420062696,0.0051813471502590676,-0.08568737714788395
EPHA6,AD,0,1,1,194,mouse,0.8876811594202898,0.9177966101694915,0.0051813471502590676,-0.08568737714788395
EPHA6,AD,0,1,1,194,yeast,0.2065217391304347,0.04533898305084746,0.0051813471502590676,-0.08568737714788395
EPHA6,AD,0,1,1,194,fly,0.4855072463768116,0.28940677966101697,0.0051813471502590676,-0.08568737714788395
PSME3,AD,0,1,1,194,mouse,0.8876811594202898,1.0,0.0051813471502590676,-0.08568737714788395
PSME3,AD,0,1,1,194,yeast,0.2065217391304347,0.0722007722007722,0.0051813471502590676,-0.08568737714788395
PSME3,AD,0,1,1,194,fly,0.4855072463768116,0.4942084942084942,0.0051813471502590676,-0.08568737714788395
NOLC1,AD,0,1,2,194,mouse,0.8876811594202898,0.18134328358208956,0.0051813471502590676,-0.08568737714788395
NOLC1,AD,0,1,2,194,yeast,0.2065217391304347,0.02298507462686567,0.0051813471502590676,-0.08568737714788395
NOLC1,AD,0,1,2,194,fly,0.4855072463768116,0.0962686567164179,0.0051813471502590676,-0.08568737714788395
RPL5,AD,0,1,1,194,mouse,0.8876811594202898,0.9837925445705025,0.0051813471502590676,-0.08568737714788395
RPL5,AD,0,1,1,194,yeast,0.2065217391304347,0.47163695299837927,0.0051813471502590676,-0.08568737714788395
RPL5,AD,0,1,1,194,fly,0.4855072463768116,0.7050243111831442,0.0051813471502590676,-0.08568737714788395
KARS,AD,0,1,1,194,mouse,0.8876811594202898,0.0,0.0051813471502590676,-0.08568737714788395
KARS,AD,0,1,1,194,yeast,0.2065217391304347,0.0,0.0051813471502590676,-0.08568737714788395
KARS,AD,0,1,1,194,fly,0.4855072463768116,0.0,0.0051813471502590676,-0.08568737714788395
PIK3C3,AD,0,1,1,194,mouse,0.8876811594202898,0.9832069339111592,0.0051813471502590676,-0.08568737714788395
PIK3C3,AD,0,1,1,194,yeast,0.2065217391304347,0.2898158179848321,0.0051813471502590676,-0.08568737714788395
PIK3C3,AD,0,1,1,194,fly,0.4855072463768116,0.5368364030335862,0.0051813471502590676,-0.08568737714788395
ROS1,AD,0,1,1,194,mouse,0.8876811594202898,0.8034907597535934,0.0051813471502590676,-0.08568737714788395
ROS1,AD,0,1,1,194,yeast,0.2065217391304347,0.020082135523613962,0.0051813471502590676,-0.08568737714788395
ROS1,AD,0,1,1,194,fly,0.4855072463768116,0.06960985626283367,0.0051813471502590676,-0.08568737714788395
CD96,AD,0,1,1,194,mouse,0.8876811594202898,0.5264462809917355,0.0051813471502590676,-0.08568737714788395
CD96,AD,0,1,1,194,yeast,0.2065217391304347,0.02421487603305785,0.0051813471502590676,-0.08568737714788395
CD96,AD,0,1,1,194,fly,0.4855072463768116,0.04231404958677686,0.0051813471502590676,-0.08568737714788395
DNAJB6,AD,0,1,1,194,mouse,0.8876811594202898,0.6469719350073855,0.0051813471502590676,-0.08568737714788395
DNAJB6,AD,0,1,1,194,yeast,0.2065217391304347,0.1342688330871492,0.0051813471502590676,-0.08568737714788395
DNAJB6,AD,0,1,1,194,fly,0.4855072463768116,0.25258493353028066,0.0051813471502590676,-0.08568737714788395
ANXA1,AD,0,1,1,194,mouse,0.8876811594202898,0.8867132867132868,0.0051813471502590676,-0.08568737714788395
ANXA1,AD,0,1,1,194,yeast,0.2065217391304347,0.03986013986013986,0.0051813471502590676,-0.08568737714788395
ANXA1,AD,0,1,1,194,fly,0.4855072463768116,0.36363636363636365,0.0051813471502590676,-0.08568737714788395
UBAP2,AD,0,1,1,194,mouse,0.8876811594202898,0.7080388692579506,0.0051813471502590676,-0.08568737714788395
UBAP2,AD,0,1,1,194,yeast,0.2065217391304347,0.015636042402826855,0.0051813471502590676,-0.08568737714788395
UBAP2,AD,0,1,1,194,fly,0.4855072463768116,0.046819787985865724,0.0051813471502590676,-0.08568737714788395
RYK,AD,0,1,1,194,mouse,0.8876811594202898,0.9286280729579699,0.0051813471502590676,-0.08568737714788395
RYK,AD,0,1,1,194,yeast,0.2065217391304347,0.056225218080888185,0.0051813471502590676,-0.08568737714788395
RYK,AD,0,1,1,194,fly,0.4855072463768116,0.2854877081681205,0.0051813471502590676,-0.08568737714788395
SPEN,AD,0,1,1,194,mouse,0.8876811594202898,0.7247879359095193,0.0051813471502590676,-0.08568737714788395
SPEN,AD,0,1,1,194,yeast,0.2065217391304347,0.007620842870607244,0.0051813471502590676,-0.08568737714788395
SPEN,AD,0,1,1,194,fly,0.4855072463768116,0.04537498316951663,0.0051813471502590676,-0.08568737714788395
RCOR1,AD,0,2,2,194,mouse,0.8876811594202898,0.8201798201798202,0.010362694300518135,-0.011505037316735026
RCOR1,AD,0,2,2,194,yeast,0.2065217391304347,0.03426573426573426,0.010362694300518135,-0.011505037316735026
RCOR1,AD,0,2,2,194,fly,0.4855072463768116,0.2627372627372627,0.010362694300518135,-0.011505037316735026
KIAA1671,AD,0,1,2,194,mouse,0.8876811594202898,0.4205890448665015,0.0051813471502590676,-0.08568737714788395
KIAA1671,AD,0,1,2,194,yeast,0.2065217391304347,0.009000825763831545,0.0051813471502590676,-0.08568737714788395
KIAA1671,AD,0,1,2,194,fly,0.4855072463768116,0.009854115056427195,0.0051813471502590676,-0.08568737714788395
NCAPH,AD,0,1,2,194,mouse,0.8876811594202898,0.7177993527508091,0.0051813471502590676,-0.08568737714788395
NCAPH,AD,0,1,2,194,yeast,0.2065217391304347,0.04983818770226537,0.0051813471502590676,-0.08568737714788395
NCAPH,AD,0,1,2,194,fly,0.4855072463768116,0.0573462783171521,0.0051813471502590676,-0.08568737714788395
MKL2,AD,0,1,1,194,mouse,0.8876811594202898,0.0,0.0051813471502590676,-0.08568737714788395
MKL2,AD,0,1,1,194,yeast,0.2065217391304347,0.0,0.0051813471502590676,-0.08568737714788395
MKL2,AD,0,1,1,194,fly,0.4855072463768116,0.0,0.0051813471502590676,-0.08568737714788395
PDLIM5,AD,0,1,1,194,mouse,0.8876811594202898,0.8706548100242523,0.0051813471502590676,-0.08568737714788395
PDLIM5,AD,0,1,1,194,yeast,0.2065217391304347,0.05044462409054163,0.0051813471502590676,-0.08568737714788395
PDLIM5,AD,0,1,1,194,fly,0.4855072463768116,0.17219078415521422,0.0051813471502590676,-0.08568737714788395
HMGN2,AD,0,1,1,194,mouse,0.8876811594202898,0.975,0.0051813471502590676,-0.08568737714788395
HMGN2,AD,0,1,1,194,yeast,0.2065217391304347,0.175625,0.0051813471502590676,-0.08568737714788395
HMGN2,AD,0,1,1,194,fly,0.4855072463768116,0.183125,0.0051813471502590676,-0.08568737714788395
RBM12,AD,0,1,1,194,mouse,0.8876811594202898,0.779891304347826,0.0051813471502590676,-0.08568737714788395
RBM12,AD,0,1,1,194,yeast,0.2065217391304347,0.021739130434782608,0.0051813471502590676,-0.08568737714788395
RBM12,AD,0,1,1,194,fly,0.4855072463768116,0.06467391304347826,0.0051813471502590676,-0.08568737714788395
HSPH1,AD,0,1,2,194,mouse,0.8876811594202898,0.9386951631046119,0.0051813471502590676,-0.08568737714788395
HSPH1,AD,0,1,2,194,yeast,0.2065217391304347,0.2514060742407199,0.0051813471502590676,-0.08568737714788395
HSPH1,AD,0,1,2,194,fly,0.4855072463768116,0.3110236220472441,0.0051813471502590676,-0.08568737714788395
ROR2,AD,0,1,1,194,mouse,0.8876811594202898,0.8862366683595734,0.0051813471502590676,-0.08568737714788395
